trdmn,mkt_rf,smb,hml,rmw,cma
199901,-0.007500713,0.01493358,0.0077615,-0.01335711,-0.012439156
199902,-0.044761525,0.009467651,-0.002702581,0.007662031,0.000581988
199903,0.064805384,0.067325296,0.05937558,-0.091756304,0.07028158
199904,-0.040707831,-0.007288607,0.030373793,-0.007140463,-0.000475103
199905,0.103135545,-0.023705048,-0.061986244,0.020638938,-0.03883157
199906,0.362729211,-0.096532573,-0.007712719,0.01345091,0.025289924
199907,-0.068912034,0.031336064,0.002188735,-0.010880247,0.030426532
199908,0.006499223,0.07164755,0.042112544,-0.059977676,0.067677078
199909,-0.031113805,0.005292674,-0.015493928,0.002594674,-0.011613772
199910,-0.052886962,0.02717074,-0.005727154,-0.014483217,0.006305914
199911,-0.044541732,0.033371138,0.004313834,-0.021876094,0.012357546
199912,-0.048543674,-0.017469353,-0.050474704,0.037945934,-0.031364328
200001,0.170362874,-0.03341066,-0.087563337,0.0197059,-0.034713648
200002,0.12629466,0.030150103,-0.00041817,-0.017309538,0.041164232
200003,0.052172507,0.086194409,0.03761925,-0.073698703,0.05110915
200004,0.010843887,-0.006829104,-0.000645082,-0.008343064,-0.010504067
200005,0.025402004,0.017878277,0.025826598,-0.020856063,0.003695604
200006,0.022140958,-0.021282413,0.025440472,0.017904054,0.003079999
200007,0.043316225,0.035769458,0.026361997,-0.019981798,0.046581563
200008,-0.006947659,0.04760426,-0.004633101,-0.036540382,0.014564416
200009,-0.049616604,0.026235123,-0.037813045,-0.014278387,0.01466658
200010,0.020008325,0.035575372,0.032398861,-0.020490099,0.020755822
200011,0.054450518,0.008276539,0.009167382,0.00769136,0.006315928
200012,-0.00547003,0.006879832,0.007345375,0.018361905,-0.007473686
200101,-0.011372325,-0.006089436,0.041194383,0.005139801,0.002863937
200102,-0.061454889,-0.014036415,0.032293224,0.027719238,-0.007469713
200103,0.073545912,0.034005971,0.009847314,-0.021273051,0.002187976
200104,-0.008835657,0.030391589,-0.034351861,-0.023722792,0.017204991
200105,0.030724282,0.064137392,-0.004393979,-0.036777401,0.023097123
200106,-0.002168058,0.008391801,0.020561934,-0.004975497,0.01089855
200107,-0.133306911,-0.003183685,-0.008800424,0.005381327,0.002542149
200108,-0.036158841,0.015841836,-0.00274247,0.003755397,0.00405312
200109,-0.057503179,-0.024708766,0.021009291,0.01078565,-0.007374523
200110,-0.051907186,-0.008843763,0.028075474,-0.013834816,0.018890001
200111,0.038242665,0.025630297,0.007276189,-0.014494227,0.008363522
200112,-0.064428451,-0.020278538,0.014100618,0.05752878,-0.033098395
200201,-0.109302284,-0.034324203,-0.000325934,0.045992103,-0.032308919
200202,0.027364232,0.014059212,0.002573717,-0.021414954,0.014966476
200203,0.065386399,0.025964367,-0.002572513,-0.025936901,0.019933209
200204,0.039330757,0.03374156,0.029560757,-0.029138352,0.031792808
200205,-0.085001818,0.000865241,-0.013841976,-0.012548416,0.004993276
200206,0.124482778,-0.034022027,0.050025139,0.010329431,0.015952493
200207,-0.042629433,0.010931791,-0.00859298,0.004716014,-0.011606981
200208,0.003797349,0.006929636,-0.001441883,0.009711402,1.70E-06
200209,-0.057087772,-0.006807488,-0.007135529,0.022409053,-0.019098472
200210,-0.051335801,-0.013650158,-0.002369261,0.004291453,-0.00483634
200211,-0.065027445,-0.030180295,-0.001738882,0.028842667,-0.029552008
200212,-0.048839635,0.002924046,-0.017561896,0.024088792,-0.011522745
200301,0.089434827,0.019015682,0.021710816,-0.034324239,0.026857294
200302,0.01007558,0.008996658,0.001349936,-0.003064765,0.004122805
200303,-0.01780629,-0.016393764,0.017930022,0.025847329,-0.015140686
200304,-0.018864144,-0.037772364,0.046976834,0.054186145,-0.036451646
200305,0.045689606,-0.01296294,0.005028063,-0.007797623,0.004185824
200306,-0.067247673,-0.003739009,-0.002951338,0.008561672,-0.008222468
200307,-0.011990128,-0.042718141,0.001270565,0.035196024,-0.022711315
200308,-0.0325589,0.011127911,-0.013532025,-0.013896146,0.000547564
200309,-0.043935752,-0.00760454,0.006575994,0.002151536,-0.003572415
200310,-0.040743265,-0.053397419,0.038237654,0.078346483,-0.044112137
200311,0.022280008,-0.009765915,0.037353185,0.012779103,0.006461317
200312,0.021034962,-0.055053317,0.045507095,0.079572205,-0.046440263
200401,0.073668487,0.019752016,0.005115721,-0.025277163,0.016463965
200402,0.073210141,0.030293334,-0.000118839,-0.046760608,0.026287581
200403,0.034894672,0.018349967,0.016039347,0.00341099,-0.012465248
200404,-0.103841058,0.016150535,0.033564858,0.020125914,0.007984214
200405,-0.024177378,0.01987428,0.011773467,-0.010319918,-0.005270416
200406,-0.11781212,-0.018215398,0.003232322,0.046115878,-0.017466145
200407,-0.002368139,-0.047252008,0.007277162,0.0361058,-0.018719509
200408,-0.046081492,-0.00069957,0.023232735,0.022014574,-0.005348009
200409,0.055470009,-0.021607261,-0.001861831,0.039974609,-0.042232689
200410,-0.055285995,-0.035751565,-0.006068184,0.042274982,-0.027231347
200411,0.022449002,0.040847569,-0.003169636,-0.051170427,0.011667852
